user_id,signup_date,country,device,is_subscriber
U_00001,2025-07-01 00:00:00.000000,Saudi Arabia,iOS,0
U_00002,2025-07-01 00:52:33.915391,Qatar,iOS,0
U_00003,2025-07-01 01:45:07.830783,Kuwait,iOS,0
U_00004,2025-07-01 02:37:41.746174,Saudi Arabia,Andriod,0
U_00005,2025-07-01 03:30:15.661566,Saudi Arabia,Andriod,0
U_00006,2025-07-01 04:22:49.576957,Saudi Arabia,Andriod,0
U_00007,2025-07-01 05:15:23.492349,Saudi Arabia,iOS,1
U_00008,2025-07-01 06:07:57.407740,UAE,Andriod,0
U_00009,2025-07-01 07:00:31.323132,Saudi Arabia,Andriod,0
U_00010,2025-07-01 07:53:05.238523,Kuwait,Andriod,0
U_00011,2025-07-01 08:45:39.153915,Saudi Arabia,Andriod,0
U_00012,2025-07-01 09:38:13.069306,Qatar,Andriod,0
U_00013,2025-07-01 10:30:46.984698,UAE,Web,0
U_00014,2025-07-01 11:23:20.900090,Saudi Arabia,iOS,0
U_00015,2025-07-01 12:15:54.815481,Saudi Arabia,Andriod,0
U_00016,2025-07-01 13:08:28.730873,Saudi Arabia,iOS,1
U_00017,2025-07-01 14:01:02.646264,Saudi Arabia,iOS,0
U_00018,2025-07-01 14:53:36.561656,Saudi Arabia,iOS,1
U_00019,2025-07-01 15:46:10.477047,Saudi Arabia,iOS,0
U_00020,2025-07-01 16:38:44.392439,Saudi Arabia,iOS,0
U_00021,2025-07-01 17:31:18.307830,Saudi Arabia,iOS,0
U_00022,2025-07-01 18:23:52.223222,Saudi Arabia,iOS,0
U_00023,2025-07-01 19:16:26.138613,Saudi Arabia,Web,0
U_00024,2025-07-01 20:09:00.054005,Saudi Arabia,iOS,0
U_00025,2025-07-01 21:01:33.969396,Saudi Arabia,Andriod,0
U_00026,2025-07-01 21:54:07.884788,Kuwait,iOS,0
U_00027,2025-07-01 22:46:41.800180,Saudi Arabia,Web,0
U_00028,2025-07-01 23:39:15.715571,Saudi Arabia,Andriod,0
U_00029,2025-07-02 00:31:49.630963,Saudi Arabia,Andriod,0
U_00030,2025-07-02 01:24:23.546354,Saudi Arabia,Andriod,0
U_00031,2025-07-02 02:16:57.461746,Saudi Arabia,iOS,0
U_00032,2025-07-02 03:09:31.377137,Saudi Arabia,Web,0
U_00033,2025-07-02 04:02:05.292529,Saudi Arabia,Andriod,0
U_00034,2025-07-02 04:54:39.207920,Qatar,Andriod,0
U_00035,2025-07-02 05:47:13.123312,Qatar,Andriod,0
U_00036,2025-07-02 06:39:47.038703,UAE,iOS,0
U_00037,2025-07-02 07:32:20.954095,Saudi Arabia,Andriod,0
U_00038,2025-07-02 08:24:54.869486,Saudi Arabia,iOS,0
U_00039,2025-07-02 09:17:28.784878,Saudi Arabia,Andriod,1
U_00040,2025-07-02 10:10:02.700270,Saudi Arabia,iOS,0
U_00041,2025-07-02 11:02:36.615661,Saudi Arabia,Web,0
U_00042,2025-07-02 11:55:10.531053,Saudi Arabia,iOS,0
U_00043,2025-07-02 12:47:44.446444,Saudi Arabia,iOS,0
U_00044,2025-07-02 13:40:18.361836,Bahrain,Andriod,0
U_00045,2025-07-02 14:32:52.277227,Saudi Arabia,Andriod,0
U_00046,2025-07-02 15:25:26.192619,Saudi Arabia,Andriod,0
U_00047,2025-07-02 16:18:00.108010,Saudi Arabia,iOS,0
U_00048,2025-07-02 17:10:34.023402,Saudi Arabia,iOS,0
U_00049,2025-07-02 18:03:07.938793,Saudi Arabia,Andriod,0
U_00050,2025-07-02 18:55:41.854185,Saudi Arabia,Web,1
U_00051,2025-07-02 19:48:15.769576,Qatar,Andriod,0
U_00052,2025-07-02 20:40:49.684968,Kuwait,Andriod,0
U_00053,2025-07-02 21:33:23.600360,Qatar,Web,0
U_00054,2025-07-02 22:25:57.515751,Bahrain,Andriod,0
U_00055,2025-07-02 23:18:31.431143,Saudi Arabia,Andriod,0
U_00056,2025-07-03 00:11:05.346534,Bahrain,Andriod,1
U_00057,2025-07-03 01:03:39.261926,Saudi Arabia,Andriod,0
U_00058,2025-07-03 01:56:13.177317,Saudi Arabia,Andriod,0
U_00059,2025-07-03 02:48:47.092709,Saudi Arabia,Andriod,1
U_00060,2025-07-03 03:41:21.008100,Saudi Arabia,iOS,0
U_00061,2025-07-03 04:33:54.923492,Saudi Arabia,iOS,0
U_00062,2025-07-03 05:26:28.838883,Saudi Arabia,iOS,0
U_00063,2025-07-03 06:19:02.754275,UAE,Andriod,0
U_00064,2025-07-03 07:11:36.669666,Saudi Arabia,iOS,0
U_00065,2025-07-03 08:04:10.585058,Saudi Arabia,iOS,1
U_00066,2025-07-03 08:56:44.500450,Saudi Arabia,Andriod,0
U_00067,2025-07-03 09:49:18.415841,Saudi Arabia,Andriod,0
U_00068,2025-07-03 10:41:52.331233,UAE,Andriod,0
U_00069,2025-07-03 11:34:26.246624,Saudi Arabia,Andriod,0
U_00070,2025-07-03 12:27:00.162016,Other,Andriod,0
U_00071,2025-07-03 13:19:34.077407,Kuwait,Web,0
U_00072,2025-07-03 14:12:07.992799,Saudi Arabia,Andriod,0
U_00073,2025-07-03 15:04:41.908190,Saudi Arabia,Andriod,0
U_00074,2025-07-03 15:57:15.823582,UAE,iOS,0
U_00075,2025-07-03 16:49:49.738973,Kuwait,Web,0
U_00076,2025-07-03 17:42:23.654365,Kuwait,iOS,0
U_00077,2025-07-03 18:34:57.569756,Kuwait,iOS,0
U_00078,2025-07-03 19:27:31.485148,Saudi Arabia,Andriod,0
U_00079,2025-07-03 20:20:05.400540,Saudi Arabia,iOS,0
U_00080,2025-07-03 21:12:39.315931,Saudi Arabia,Web,0
U_00081,2025-07-03 22:05:13.231323,UAE,Andriod,0
U_00082,2025-07-03 22:57:47.146714,Saudi Arabia,Andriod,0
U_00083,2025-07-03 23:50:21.062106,Saudi Arabia,Andriod,0
U_00084,2025-07-04 00:42:54.977497,Saudi Arabia,Andriod,0
U_00085,2025-07-04 01:35:28.892889,Saudi Arabia,iOS,0
U_00086,2025-07-04 02:28:02.808280,Saudi Arabia,Andriod,0
U_00087,2025-07-04 03:20:36.723672,Kuwait,Andriod,0
U_00088,2025-07-04 04:13:10.639063,Saudi Arabia,Andriod,0
U_00089,2025-07-04 05:05:44.554455,Bahrain,Andriod,0
U_00090,2025-07-04 05:58:18.469846,Saudi Arabia,iOS,0
U_00091,2025-07-04 06:50:52.385238,Saudi Arabia,iOS,0
U_00092,2025-07-04 07:43:26.300630,Kuwait,iOS,0
U_00093,2025-07-04 08:36:00.216021,Kuwait,iOS,0
U_00094,2025-07-04 09:28:34.131413,Saudi Arabia,Andriod,0
U_00095,2025-07-04 10:21:08.046804,Kuwait,Andriod,0
U_00096,2025-07-04 11:13:41.962196,Saudi Arabia,iOS,0
U_00097,2025-07-04 12:06:15.877587,Saudi Arabia,Andriod,0
U_00098,2025-07-04 12:58:49.792979,Saudi Arabia,Andriod,0
U_00099,2025-07-04 13:51:23.708370,Saudi Arabia,iOS,1
U_00100,2025-07-04 14:43:57.623762,Saudi Arabia,iOS,0
U_00101,2025-07-04 15:36:31.539153,Saudi Arabia,Web,1
U_00102,2025-07-04 16:29:05.454545,Saudi Arabia,Andriod,0
U_00103,2025-07-04 17:21:39.369936,Saudi Arabia,Web,0
U_00104,2025-07-04 18:14:13.285328,Saudi Arabia,iOS,0
U_00105,2025-07-04 19:06:47.200720,Bahrain,Andriod,0
U_00106,2025-07-04 19:59:21.116111,Saudi Arabia,iOS,0
U_00107,2025-07-04 20:51:55.031503,Saudi Arabia,iOS,1
U_00108,2025-07-04 21:44:28.946894,Kuwait,Andriod,0
U_00109,2025-07-04 22:37:02.862286,Saudi Arabia,iOS,0
U_00110,2025-07-04 23:29:36.777677,Saudi Arabia,iOS,0
U_00111,2025-07-05 00:22:10.693069,Saudi Arabia,iOS,1
U_00112,2025-07-05 01:14:44.608460,Saudi Arabia,iOS,0
U_00113,2025-07-05 02:07:18.523852,Bahrain,Andriod,0
U_00114,2025-07-05 02:59:52.439243,UAE,Andriod,0
U_00115,2025-07-05 03:52:26.354635,Saudi Arabia,iOS,0
U_00116,2025-07-05 04:45:00.270027,UAE,iOS,0
U_00117,2025-07-05 05:37:34.185418,UAE,iOS,0
U_00118,2025-07-05 06:30:08.100810,Saudi Arabia,Andriod,0
