transaction_id,user_id,timestamp,transaction_type,feature_name,amount
T_2904775,U_03032,2025-11-05 15:25:17.551755,iap_purchase,Store Bundle,9.99
T_7560454,U_03532,2025-11-10 21:27:55.247524,coin_sink,Store Bundle,1478.0
T_6653275,U_00771,2025-08-18 02:35:14.851485,coin_sink,Tournament Entry,1746.0
T_3063874,U_04896,2026-02-02 16:26:55.841584,coin_source,Store Bundle,4171.0
T_1002479,U_08033,2026-04-20 04:44:08.424842,coin_sink,Tournament Entry,2167.0
T_2648046,U_07493,2026-04-10 11:38:54.113411,coin_sink,Tournament Entry,4459.0
T_8144908,U_00063,2025-07-14 06:19:02.754275,coin_source,Tournament Entry,3199.0
T_3910902,U_03242,2025-10-30 07:23:59.783978,coin_source,Daily Reward,3112.0
T_5944093,U_05887,2026-01-31 20:39:05.994599,coin_sink,Baloot Room,2964.0
T_4820688,U_06603,2026-03-16 23:55:49.414941,coin_source,Tournament Entry,3178.0
T_6963024,U_05493,2026-01-27 11:28:23.330333,coin_sink,Baloot Room,1585.0
T_9517233,U_09399,2026-06-17 01:28:16.849684,iap_purchase,Store Bundle,9.99
T_8254856,U_06893,2026-04-02 13:59:44.878487,coin_sink,Daily Reward,133.0
T_4430616,U_00205,2025-07-11 10:43:18.739873,coin_sink,Baloot Room,4732.0
T_9204624,U_08818,2026-05-21 20:27:52.007200,coin_sink,Store Bundle,3579.0
T_9590338,U_03685,2025-11-30 11:30:24.302430,iap_purchase,Daily Reward,4.99
T_1620029,U_06866,2026-03-12 14:20:29.162916,coin_source,Tournament Entry,6248.0
T_4580926,U_04611,2025-12-18 06:45:49.954995,coin_source,Daily Reward,3948.0
T_5075302,U_05713,2026-01-25 12:12:44.716471,coin_sink,Baloot Room,4056.0
T_6018818,U_03800,2025-11-20 16:15:24.572457,coin_source,Baloot Room,1322.0
T_5115708,U_00395,2025-07-28 09:10:42.664266,coin_source,Tournament Entry,749.0
T_2212231,U_08017,2026-04-30 14:43:05.778577,coin_sink,Daily Reward,3342.0
T_5400317,U_07807,2026-04-11 22:44:23.546354,coin_source,Tournament Entry,6264.0
T_8161928,U_01850,2025-09-21 11:53:09.558955,coin_source,Baloot Room,9439.0
T_2371247,U_09206,2026-06-02 00:23:11.179117,coin_sink,Store Bundle,2610.0
T_4208505,U_01429,2025-08-26 03:03:11.179117,coin_source,Tournament Entry,9505.0
T_2852620,U_09772,2026-06-26 16:15:07.290729,coin_source,Daily Reward,3509.0
T_9494809,U_04282,2025-12-08 06:31:51.791179,coin_source,Tournament Entry,6988.0
T_4781578,U_06302,2026-02-16 00:13:40.882088,coin_source,Daily Reward,1867.0
